Date,Close,High,Low,Open,Volume,MA50,MA200,Signal
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400,,,0
2020-01-03,71.63066101074219,72.38928035156616,71.40668901147588,71.56322834377139,146322800,,,0
2020-01-06,72.20140838623047,72.23994237629597,70.50354624985978,70.75401351048198,118387200,,,0
2020-01-07,71.86182403564453,72.46630702167467,71.64266615559501,72.21102583164013,108872000,,,0
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200,,,0
2020-01-09,74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400,,,0
2020-01-10,74.73738861083984,75.30094193802128,74.23646130286748,74.80241795222723,140644800,,,0
2020-01-13,76.3341064453125,76.36060178633993,74.93487315391599,75.05288582822318,121532000,,,0
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400,,,0
2020-01-15,74.98062896728516,75.98249090201921,74.54953765831824,75.10345563091921,121923600,,,0
2020-01-16,75.91986083984375,76.03064882750155,75.1612416745226,75.52248959606675,108829200,,,0
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,,,0
2020-01-21,76.24014282226562,76.83017646283267,76.10286689971221,76.38945739784091,110843200,,,0
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400,,,0
2020-01-23,76.88078308105469,76.96025438766408,76.01860061750638,76.56529382668359,104472000,,,0
2020-01-24,76.65921783447266,77.86819158420508,76.46895853504518,77.1264324079885,146537600,,,0
2020-01-27,74.40501403808594,75.08415437016195,73.4248264992336,74.67233390344245,161940000,,,0
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,,,0
2020-01-29,78.11141967773438,78.95674202148273,77.39855929233421,78.13791500924663,216229200,,,0
2020-01-30,77.99824523925781,78.05122856412287,76.76518678742532,77.19627805111793,126743200,,,0
2020-01-31,74.53987121582031,77.71162269093732,74.24605605312745,77.29016693664212,199588400,,,0
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,,,0
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,,,0
2020-02-05,77.41544342041016,78.21259669148851,76.81336346644713,77.91396003658885,118826800,,,0
2020-02-06,78.32095336914062,78.3233640404218,77.12883967256218,77.68516086755363,105425600,,,0
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,,,0
2020-02-10,77.62328338623047,77.62328338623047,75.76448107418051,75.84414097834794,109348800,,,0
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,,,0
2020-02-12,78.98724365234375,78.99206907115294,77.60399867366895,77.60399867366895,113730400,,,0
2020-02-13,78.42474365234375,78.75063980830953,78.05781303227035,78.2605910618148,94747600,,,0
2020-02-14,78.44408416748047,78.69272952184373,77.93713525426901,78.39338411922328,80113600,,,0
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,,,0
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,,,0
2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000,,,0
2020-02-21,75.57135009765625,77.35774159273006,74.95577422235982,76.91596913601705,129554000,,,0
2020-02-24,71.98169708251953,73.43011814732492,69.8211400810818,71.75960997813098,222195200,,,0
2020-02-25,69.54350280761719,73.03178561562022,69.07277049917455,72.65037140517215,230673600,,,0
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800,,,0
2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600,,,0
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000,,,0
2020-03-02,72.1337890625,72.7686815326321,67.0425894386722,68.14338895911868,341397200,,,0
2020-03-03,69.84288787841797,73.38669078369585,68.99314253337712,73.30703084112471,319475600,,,0
2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400,,,0
2020-03-05,70.71192169189453,72.31242082695749,70.34740002247567,71.33956494467967,187572800,,,0
2020-03-06,69.77286529541016,70.20497969740977,67.88992061879122,68.07579869358199,226176800,,,0
2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800,,,0
2020-03-10,68.88207244873047,69.14761776690831,65.02685833500999,66.9025682079639,285290000,,,0
2020-03-11,66.48975372314453,67.88748182990133,65.62794159632746,66.96290981260235,255598800,,,0
2020-03-12,59.92359161376953,65.17894700154001,59.86806983845157,61.7848142766757,418474000,,,0
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,73.73338928222657,,0
2020-03-16,58.47035217285156,62.54282496971143,57.9368487366503,58.40758489593045,322423600,73.45611877441407,,0
2020-03-17,61.04129409790039,62.187957132183904,57.55059758461941,59.74978379495811,324056000,73.24433143615722,,0
